SA2011;MDM_rank;MDM_PC_inc;MDM_PC_emp
N00000835;2496;6;25
N00000836;1617;11;26
N00000837;1649;11;31
N00000838;1587;12;28
N00000839;2003;13;30
N00000840;2386;17;13
N00000841;63;20;57
N00000842;125;17;54
N00000843;487;22;35
N00000844;303;23;45
N00000845;398;28;33
N00000846;231;19;50
N00000847;39;24;52
N00000848;85;29;51
N00000849;133;28;48
N00000850;820;16;32
N00000851;34;29;56
N00000852;80;22;52
N00000853;190;16;46
N00000854;180;15;47
N00000855;3203;11;15
N00000856;4390;8;6
N00000857;4107;9;12
N00000858;2270;9;20
N00000859;3876;11;12
N00000860;4457;6;10
N00000861;4501;4;4
N00000862;3937;10;11
N00000863;4436;3;9
N00000864;3606;15;10
N00000865;4013;5;13
N00000866;1707;16;19
N00000867;2510;12;11
N00000868;3455;13;12
N00000869;987;19;28
N00000870;3951;6;15
N00000871;3851;4;13
N00000872;2725;10;17
N00000873;1003;12;31
N00000874;1393;8;32
N00000875;295;19;39
N00000876;325;16;50
N00000877;324;23;33
N00000878;154;14;48
N00000879;672;13;40
N00000880;788;11;36
N00000881;610;9;44
N00000882;35;25;50
N00000883;245;18;42
N00000884;526;18;43
N00000885;566;20;31
N00000886;2836;9;16
N00000887;3929;3;13
N00000888;2478;10;20
N00000889;3036;15;12
N00000890;3317;8;19
N00000891;1896;12;26
N00000892;3534;7;14
N00000893;4023;3;11
N00000894;2916;11;11
N00000895;2395;11;15
N00000896;3608;9;11
N00000897;3975;11;9
N00000898;3194;9;14
N00000899;1137;16;23
N00000900;758;17;31
N00000901;2751;9;19
N00000902;3413;7;10
N00000903;492;35;23
N00000904;1434;15;19
N00000905;1902;13;20
N00000906;3299;7;16
N00000907;274;21;31
N00000908;973;16;25
N00000909;1407;10;31
N00000910;455;19;30
N00000911;748;15;36
N00000912;453;27;27
N00000913;827;14;36
N00000914;2185;10;23
N00000915;2254;8;24
N00000916;1365;12;29
N00000917;864;19;32
N00000918;2208;11;20
N00000919;2905;8;19
N00000920;472;23;36
N00000921;3556;10;14
N00000922;2780;10;21
N00000923;1819;13;23
N00000924;1499;13;32
N00000925;1954;12;23
N00000926;525;16;41
N00000927;757;14;39
N00000928;2844;9;21
N00000929;975;8;37
N00000930;294;8;48
N00000931;173;14;52
N00000932;186;24;45
N00000933;593;18;42
N00000934;2108;9;25
N00000935;1193;13;30
N00000936;1054;11;37
N00000937;1878;8;29
N00000938;2440;7;25
N00000939;503;19;37
N00000940;196;23;42
N00000941;3126;16;9
N00000942;3271;8;15
N00000943;2774;14;16
N00000944;730;15;42
N00000945;3679;9;13
N00000946;366;20;33
N00000947;1127;17;31
N00000948;612;22;34
N00000949;1487;11;30
N00000950;517;23;31
N00000951;3155;10;17
N00000952;1242;19;23
N00000953;1446;15;26
N00000954;484;17;40
N00000955;3640;9;14
N00000956;1835;13;23
N00000957;4456;6;6
N00000958;4249;5;13
N00000959;4487;8;8
N00000960;4522;5;6
N00000961;4536;3;6
N00000962;1717;8;30
N00000963;3586;11;16
N00000964;4205;7;12
N00000965;3979;7;11
N00000966;4534;5;5
N00000967;3952;7;13
N00000968;3961;9;11
N00000969;2368;3;19
N00000970;2203;13;19
N00000971;2000;10;21
N00000972;881;11;34
N00000973;1255;21;20
N00000974;1626;3;27
N00000975;199;21;34
N00000976;244;20;40
N00000977;1502;13;23
N00000978;116;35;31
N00000979;1017;12;32
N00000980;946;22;15
N00000981;674;19;26
N00000982;958;19;22
N00000983;1147;16;28
N00000984;951;23;19
N00000985;489;14;40
N00000986;476;17;31
N00000987;1348;12;21
N00000988;2232;4;18
N00000989;280;21;33
N00000990;853;17;25
