SA2011;MDM_rank;MDM_PC_inc;MDM_PC_emp
N00002365;857;20;27
N00002366;746;22;23
N00002367;3560;11;15
N00002368;2982;12;13
N00002369;2176;17;13
N00002370;2356;15;15
N00002371;3097;14;12
N00002372;2705;13;15
N00002373;2223;13;20
N00002374;2528;4;20
N00002375;3048;10;12
N00002376;3686;9;11
N00002377;2509;17;11
N00002378;3304;13;11
N00002379;4108;9;9
N00002380;2605;13;16
N00002381;3718;10;11
N00002382;3104;13;16
N00002383;4210;10;7
N00002384;3844;8;8
N00002385;3138;12;16
N00002386;514;18;37
N00002387;38;29;51
N00002388;175;31;31
N00002389;379;22;43
N00002390;317;21;33
N00002391;4032;7;12
N00002392;4306;5;8
N00002393;4336;7;10
N00002394;1689;14;27
N00002395;3139;12;17
N00002396;597;15;37
N00002397;123;21;56
N00002398;893;15;34
N00002399;375;23;37
N00002400;3377;2;17
N00002401;2427;17;16
N00002402;4383;5;12
N00002403;2243;19;17
N00002404;2559;12;20
N00002405;2713;13;18
N00002406;3905;7;11
N00002407;3164;13;21
N00002408;3962;7;12
N00002409;1284;19;30
N00002410;2358;11;27
N00002411;4403;5;7
N00002412;3992;10;11
N00002413;3453;12;16
N00002414;4097;10;11
N00002415;3117;15;14
N00002416;1521;13;29
N00002417;1590;17;24
N00002418;886;26;17
N00002419;1779;19;18
N00002420;1562;18;16
N00002421;1805;14;16
N00002422;1873;11;18
N00002423;541;15;48
N00002424;2294;9;30
N00002425;1715;10;32
N00002426;3057;12;18
N00002427;469;19;47
N00002428;1345;12;36
N00002429;697;13;46
N00002430;387;20;44
N00002431;74;24;53
N00002432;29;26;65
N00002433;1454;13;30
N00002434;6;37;59
N00002435;775;10;47
N00002436;925;16;34
N00002437;3487;9;14
N00002438;1222;10;39
N00002439;736;17;41
N00002440;535;20;42
N00002441;360;19;50
N00002442;273;16;51
N00002443;901;16;37
N00002444;2293;9;26
N00002445;4128;5;8
N00002446;185;28;46
N00002447;443;18;42
N00002448;1110;18;28
N00002449;1955;13;29
N00002450;1822;12;31
N00002451;32;29;58
N00002452;1466;12;38
N00002453;1678;8;35
N00002454;1233;7;41
N00002455;4347;8;7
N00002456;3822;3;17
N00002457;2228;16;16
N00002458;1161;10;35
N00002459;2136;16;20
N00002460;3320;5;19
N00002461;2099;12;19
N00002462;1750;16;20
N00002463;1981;14;16
N00002464;1663;15;21
N00002465;96;22;52
N00002466;97;23;49
N00002467;546;17;38
N00002468;833;17;38
N00002469;446;21;41
N00002470;632;17;38
N00002471;719;16;40
N00002472;297;15;51
N00002473;258;15;51
N00002474;406;15;48
N00002475;106;26;54
N00002476;115;28;50
N00002477;902;15;35
N00002478;94;26;48
N00002479;2722;11;21
N00002480;1578;17;22
N00002481;118;22;50
N00002482;210;13;50
N00002483;69;22;55
N00002484;70;31;48
N00002485;633;14;40
N00002486;420;19;37
N00002487;2998;10;19
N00002488;1019;19;31
N00002489;3285;6;17
N00002490;2779;12;19
N00002491;204;20;47
N00002492;152;25;46
N00002493;169;22;49
N00002494;416;12;47
N00002495;1188;12;35
N00002496;813;8;44
N00002497;498;17;46
N00002498;967;15;34
N00002499;3262;8;18
N00002500;1523;21;19
N00002501;3572;12;12
N00002502;3277;9;18
N00002503;3967;7;14
N00002504;1651;16;28
N00002505;848;17;35
N00002506;506;20;37
N00002507;1125;13;34
N00002508;111;21;55
N00002509;450;20;45
N00002510;1039;20;30
N00002511;1;39;70
N00002512;1104;17;32
N00002513;2838;15;13
N00002514;3712;12;12
N00002515;2260;11;22
N00002516;3456;10;13
N00002517;2922;12;19
N00002518;1967;18;17
N00002519;1858;13;24
N00002520;3886;8;13
N00002521;1615;16;24
N00002522;358;25;33
N00002523;1522;11;30
N00002524;852;20;28
N00002525;2689;12;17
N00002526;2893;10;18
N00002527;4130;12;9
N00002528;3219;13;20
N00002529;3670;6;17
N00002530;3907;9;14
N00002531;3663;8;17
N00002532;2157;13;23
N00002533;867;16;39
N00002534;780;18;40
N00002535;3680;4;18
N00002536;2389;17;13
N00002537;2222;12;22
N00002538;3064;12;13
N00002539;1259;7;35
N00002540;3121;11;15
N00002541;3053;9;20
N00002542;3658;7;19
N00002543;2142;11;24
N00002544;2904;11;20
N00002545;2119;15;19
N00002546;1118;17;34
N00002547;2249;14;24
N00002548;824;12;46
N00002549;3472;8;16
N00002550;3495;10;16
N00002551;1842;15;24
N00002552;1775;14;24
N00002553;2476;16;18
N00002554;3055;12;18
N00002555;2750;10;20
N00002556;965;22;22
N00002557;1642;15;25
N00002558;1635;15;29
N00002559;1138;12;36
N00002560;3799;10;12
N00002561;3950;3;13
N00002562;3827;8;14
N00002563;3387;13;15
N00002564;1814;11;29
N00002565;866;20;27
N00002566;3597;8;16
N00002567;1945;13;23
N00002568;2859;7;20
N00002569;3362;12;19
N00002570;3337;4;20
N00002571;3449;7;20
N00002572;4338;7;12
N00002573;1073;16;37
N00002574;887;13;39
N00002575;407;23;38
N00002576;1015;16;36
N00002577;534;21;39
N00002578;81;34;52
N00002579;93;26;50
N00002580;2221;9;26
N00002581;3331;5;22
N00002582;288;18;50
N00002583;236;13;51
N00002584;58;29;54
N00002585;129;15;53
N00002586;448;16;47
N00002587;251;22;42
N00002588;357;16;43
N00002589;207;25;47
N00002590;422;20;41
N00002591;1411;17;24
N00002592;2672;12;19
N00002593;1593;13;29
N00002594;218;22;42
N00002595;1024;14;37
N00002596;2832;10;22
N00002597;2282;16;20
N00002598;239;21;46
N00002599;2621;6;22
N00002600;2634;12;22
N00002601;3112;5;26
N00002602;3281;10;18
N00002603;30;29;59
N00002604;1203;18;27
N00002605;16;25;65
N00002606;480;12;49
N00002607;61;23;60
N00002608;772;20;43
N00002609;4388;3;3
N00002610;933;17;26
N00002611;364;41;29
N00002612;679;23;32
N00002613;25;28;65
N00002614;307;19;52
N00002615;710;18;39
N00002616;77;30;49
N00002617;800;20;36
N00002618;276;18;52
N00002619;474;20;38
N00002620;1971;12;21
N00002621;994;19;29
N00002622;894;17;37
N00002623;1875;12;26
N00002624;254;22;46
N00002625;521;16;39
N00002626;1699;17;20
N00002627;1298;11;35
N00002628;659;17;45
N00002629;67;27;56
N00002630;246;20;50
N00002631;124;31;42
N00002632;627;17;39
N00002633;1131;16;31
N00002634;2505;11;22
N00002635;1020;13;35
N00002636;1886;11;27
N00002637;3135;9;13
N00002638;1243;20;23
N00002639;363;19;46
N00002640;3545;5;16
N00002641;3750;9;13
N00002642;3699;11;12
N00002643;4209;5;10
N00002644;642;16;38
N00002645;1447;13;32
N00002646;1346;19;27
N00002647;3176;13;16
N00002648;924;19;35
N00002649;3473;6;18
N00002650;1037;16;29
N00002651;3722;13;9
N00002652;884;14;32
N00002653;1712;10;30
N00002654;992;13;33
N00002655;161;16;53
N00002656;1541;12;27
N00002657;1540;8;29
N00002658;564;19;30
N00002659;20;25;52
N00002660;1894;21;11
N00002661;334;18;50
N00002662;2095;18;15
N00002663;2803;8;20
N00002664;348;20;42
N00002665;3386;11;13
N00002666;3488;4;14
N00002667;1505;11;28
N00002668;1728;12;28
N00002669;1899;14;19
N00002670;2325;13;20
N00002671;2706;10;19
N00002672;119;19;51
N00002673;934;17;30
N00002674;606;17;39
N00002675;3573;11;11
N00002676;2839;10;21
N00002677;3236;12;10
N00002678;3017;13;14
N00002679;2377;13;18
N00002680;3502;12;14
N00002681;3393;7;11
N00002682;3481;12;11
N00002683;3810;9;8
N00002684;3278;12;13
N00002685;3624;8;7
N00002686;3559;7;9
N00002687;2146;16;19
N00002688;2529;15;14
N00002689;1089;15;33
N00002690;1694;10;31
N00002691;3382;9;16
N00002692;2151;10;27
N00002693;713;14;52
N00002694;3529;8;15
N00002695;3279;9;15
N00002696;2896;14;17
N00002697;2965;15;12
N00002698;3129;13;17
N00002699;796;17;34
N00002700;2163;12;21
N00002701;2561;13;13
N00002702;1646;10;29
N00002703;3047;12;12
N00002704;3817;9;9
N00002705;2200;14;16
N00002706;2131;16;19
N00002707;2313;18;14
N00002708;458;21;39
N00002709;2485;17;11
N00002710;1566;11;26
N00002711;1211;19;26
N00002712;3069;9;16
N00002713;2008;11;21
N00002714;3813;8;8
N00002715;3601;8;14
N00002716;2798;15;16
N00002717;1968;14;15
N00002718;3357;12;12
N00002719;3510;9;13
N00002720;1531;15;25
N00002721;1091;21;24
N00002722;3424;7;13
N00002723;463;26;29
N00002724;1082;10;37
N00002725;2067;14;17
N00002726;1315;16;26
N00002727;2770;12;12
N00002728;2696;10;17
N00002729;977;16;27
N00002730;1230;17;27
N00002731;1052;18;29
N00002732;1237;17;25
N00002733;2271;16;16
N00002734;3931;12;9
N00002735;3735;9;11
N00002736;2960;13;10
N00002737;3394;13;10
N00002738;3843;7;10
N00002739;2985;12;11
N00002740;2394;16;15
N00002741;3446;10;16
N00002742;470;15;46
N00002743;1254;20;21
N00002744;113;17;57
N00002745;127;21;50
N00002746;1373;17;30
N00002747;2593;12;19
N00002748;1271;19;22
N00002749;1547;14;30
N00002750;1014;11;39
N00002751;614;14;44
N00002752;2459;15;17
N00002753;3889;4;15
N00002754;3457;7;15
N00002755;3557;7;16
N00002756;4275;9;13
N00002757;3311;10;19
N00002758;2438;9;24
N00002759;3594;10;15
N00002760;4484;6;8
N00002761;3779;13;10
N00002762;4252;10;8
N00002763;3501;9;12
N00002764;2033;14;19
N00002765;2096;9;16
N00002766;2279;15;14
N00002767;2941;12;15
N00002768;1095;19;29
N00002769;2178;15;16
N00002770;2743;8;15
N00002771;644;18;39
N00002772;1865;15;24
N00002773;690;19;40
N00002774;4199;8;9
N00002775;2431;19;13
N00002776;3162;12;16
N00002777;248;22;43
N00002778;347;18;44
N00002779;2194;13;15
N00002780;2851;10;15
N00002781;2831;11;13
N00002782;2135;13;18
N00002783;2747;9;17
N00002784;1908;12;21
N00002785;1793;16;20
N00002786;2234;10;19
N00002787;1921;11;22
N00002788;2413;15;12
N00002789;952;20;30
N00002790;2451;14;19
N00002791;3133;13;12
N00002792;2883;15;11
N00002793;1154;18;28
N00002794;2418;12;14
N00002795;1831;11;22
N00002796;1103;20;21
N00002797;2080;17;13
N00002798;2681;12;10
N00002799;1350;17;22
N00002800;2784;13;15
N00002801;3251;12;11
N00002802;2004;14;17
N00002803;1556;19;19
N00002804;1084;21;21
N00002805;1355;15;25
N00002806;3172;10;14
N00002807;1939;17;12
N00002808;1569;18;18
N00002809;2822;11;16
N00002810;1136;19;29
N00002811;1422;19;20
N00002812;795;19;28
N00002813;1148;18;26
N00002814;1462;11;24
N00002815;355;16;35
N00002816;2843;10;17
N00002817;1991;15;23
N00002818;1650;15;24
N00002819;1028;14;35
N00002820;1983;19;13
N00002821;3134;10;8
N00002822;2180;13;17
N00002823;1621;13;27
N00002824;2552;16;13
N00002825;2881;13;12
N00002826;1802;12;18
N00002827;2539;11;13
N00002828;1360;18;20
N00002829;3328;11;14
N00002830;2310;15;14
N00002831;2255;16;10
N00002832;2983;9;17
N00002833;2924;10;17
N00002834;2647;13;13
N00002835;3370;9;15
N00002836;2927;14;16
N00002837;2520;11;16
N00002838;2037;14;14
N00002839;1246;15;26
N00002840;2040;14;17
N00002841;2993;9;19
N00002842;1695;14;24
N00002843;2032;9;29
N00002844;691;15;41
N00002845;1914;9;28
N00002846;1919;15;26
N00002847;2056;16;21
N00002848;1139;17;31
N00002849;320;9;55
N00002850;421;19;40
N00002851;315;27;34
N00002852;763;21;30
N00002853;1106;15;28
N00002854;2379;9;28
N00002855;2782;12;16
N00002856;1691;16;27
N00002857;3029;12;14
N00002858;3669;7;7
N00002859;3831;6;9
N00002860;2126;14;20
N00002861;3978;6;10
N00002862;2020;8;22
N00002863;3325;6;12
N00002864;3200;12;13
N00002865;2288;17;13
N00002866;2009;17;14
N00002867;2868;14;14
N00002868;1729;16;26
N00002869;2490;15;16
N00002870;2209;13;22
N00002871;1574;17;22
N00002872;1395;11;30
N00002873;2106;9;26
N00002874;991;15;30
N00002875;2708;13;12
N00002876;2207;14;17
N00002877;917;17;29
N00002878;1786;8;21
N00002879;2216;15;19
N00002880;2641;13;14
N00002881;3583;9;10
N00002882;1993;14;21
N00002883;2059;15;16
N00002884;3089;12;13
N00002885;1682;11;27
N00002886;3964;7;9
N00002887;3024;12;10
N00002888;4138;8;12
N00002889;2285;11;23
N00002890;3228;10;15
N00002891;3151;15;9
N00002892;2309;16;16
N00002893;2162;10;24
N00002894;2854;11;17
N00002895;2139;16;15
N00002896;2671;16;10
N00002897;3627;9;12
N00002898;1969;16;15
N00002899;1498;17;20
N00002900;2503;7;22
N00002901;2027;15;20
N00002902;2493;9;20
N00002903;1250;17;21
N00002904;1982;18;20
N00002905;2331;14;22
N00002906;2658;7;27
N00002907;2456;14;18
N00002908;2197;10;22
N00002909;1815;16;19
N00002910;2660;12;17
N00002911;2360;14;17
N00002912;3368;8;11
N00002913;3463;7;12
N00002914;2021;16;17
N00002915;2261;10;24
N00002916;2973;14;13
N00002917;1764;18;16
N00002918;1390;18;17
N00002919;2306;16;11
N00002920;1585;18;18
N00002921;1614;16;15
N00002922;1058;17;22
N00002923;1589;17;18
N00002924;825;21;30
N00002925;1264;21;14
N00002926;497;27;30
N00002927;1096;19;18
N00002928;2532;11;16
N00002929;1286;20;18
N00002930;2445;16;14
N00002931;2745;13;13
N00002932;1951;13;20
N00002933;2721;13;11
N00002934;948;23;17
N00002935;1664;18;11
N00002936;2540;13;15
N00002937;1474;18;20
N00002938;2566;12;15
N00002939;2746;10;11
N00002940;1105;23;17
N00002941;1075;17;30
N00002942;2492;13;12
N00002943;2551;14;16
N00002944;2446;10;21
N00002945;3056;12;15
N00002946;602;18;35
N00002947;1357;9;33
N00002948;2819;15;15
N00002949;1762;19;22
N00002950;3432;13;13
N00002951;2500;10;27
N00002952;3244;15;10
N00002953;988;20;27
N00002954;2430;17;11
N00002955;2217;14;14
N00002956;1304;19;23
N00002957;1308;13;30
N00002958;2242;9;17
N00002959;2794;14;15
N00002960;2873;11;10
N00002961;1314;23;16
N00002962;1644;16;23
N00002963;1943;19;14
N00002964;2596;12;18
N00002965;1887;16;11
N00002966;2001;17;16
N00002967;837;19;32
N00002968;1310;14;34
N00002969;193;31;44
N00002970;817;13;38
N00002971;372;23;39
N00002972;31;24;51
N00002973;1449;21;15
N00002974;1187;21;17
N00002975;2116;19;15
N00002976;1904;14;24
N00002977;1158;18;22
N00002978;1625;17;15
N00002979;582;17;40
N00002980;3040;11;19
N00002981;2211;7;24
N00002982;1907;15;24
N00002983;2118;12;13
N00002984;134;23;42
N00002985;700;16;42
N00002986;692;15;42
N00002987;1658;16;21
N00002988;1657;18;15
N00002989;1975;17;15
N00002990;2412;11;8
N00002991;1408;16;23
N00002992;1660;22;11
N00002993;60;27;51
N00002994;1476;17;22
N00002995;1654;20;19
N00002996;663;16;45
N00002997;974;20;31
N00002998;2316;12;26
N00002999;892;15;37
N00003000;1917;14;16
N00003001;1282;14;24
N00003002;1167;19;23
N00003003;2545;14;15
N00003004;249;30;31
N00003005;2735;13;11
N00003006;3438;13;11
N00003007;2085;17;11
N00003008;3260;10;13
N00003009;3187;9;13
N00003010;3022;7;18
N00003011;2190;11;22
N00003012;2467;14;16
N00003013;1599;18;16
N00003014;2719;14;14
N00003015;2592;13;14
N00003016;1912;18;14
N00003017;2375;13;15
N00003018;984;20;29
N00003019;678;15;41
N00003020;2405;11;19
N00003021;1179;20;25
N00003022;1545;19;21
N00003023;277;21;41
N00003024;1800;14;26
N00003025;2517;13;17
N00003026;1629;22;15
N00003027;1901;15;15
N00003028;2477;14;15
N00003029;3375;11;12
N00003030;494;20;40
N00003031;1838;16;14
N00003032;1825;16;12
N00003033;1132;20;19
N00003034;222;20;53
N00003035;511;23;29
N00003036;811;23;25
N00003037;1050;20;27
N00003038;932;21;20
N00003039;1192;16;27
N00003040;350;23;36
N00003041;845;27;22
N00003042;436;25;35
N00003043;668;14;38
N00003044;2763;14;13
N00003045;3767;9;12
N00003046;3696;13;11
N00003047;782;25;17
N00003048;1292;21;15
N00003049;907;22;26
N00003050;1442;17;18
N00003051;1194;21;15
N00003052;361;26;31
N00003053;3086;8;21
N00003054;3576;12;14
N00003055;3418;11;14
N00003056;3231;10;15
N00003057;512;17;34
N00003058;501;26;33
N00003059;3119;6;18
N00003060;721;20;38
N00003061;1810;17;18
N00003062;2308;16;14
N00003063;1645;16;20
N00003064;1571;18;18
N00003065;1325;11;34
N00003066;1637;18;16
N00003067;3102;9;19
N00003068;1391;12;28
N00003069;457;21;38
N00003070;554;22;35
N00003071;547;14;40
N00003072;1109;14;35
N00003073;3641;8;11
N00003074;2575;13;13
N00003075;2537;10;16
N00003076;2947;12;14
N00003077;3351;5;16
N00003078;2791;15;12
N00003079;1249;14;30
N00003080;1119;19;31
N00003081;75;30;41
N00003082;615;19;37
N00003083;1129;18;25
N00003084;1892;8;27
N00003085;856;18;37
N00003086;1976;13;25
N00003087;2683;12;18
N00003088;1034;15;35
N00003089;3152;10;14
N00003090;3506;6;14
N00003091;3930;10;9
N00003092;1306;16;30
N00003093;3146;15;13
N00003094;3558;12;5
N00003095;3953;7;9
N00003096;2241;16;19
N00003097;4115;6;13
N00003098;1703;12;25
N00003099;2026;15;21
N00003100;1602;16;20
N00003101;1489;12;29
N00003102;2087;10;18
N00003103;3935;3;12
N00003104;1328;16;23
N00003105;532;17;35
N00003106;335;25;35
N00003107;15;32;63
N00003108;3131;9;22
N00003109;3088;7;16
N00003110;1160;16;30
N00003111;927;8;47
N00003112;1666;13;28
N00003113;1879;9;28
N00003114;1166;10;39
N00003115;1511;16;30
N00003116;3887;5;17
N00003117;2198;14;20
N00003118;681;9;46
N00003119;1425;10;32
N00003120;3459;15;12
N00003121;3562;11;13
N00003122;3939;4;15
N00003123;2073;12;15
N00003124;1076;18;19
N00003125;1749;12;17
N00003126;1776;15;13
N00003127;2153;15;13
N00003128;1748;14;26
N00003129;1860;20;16
N00003130;3465;10;15
N00003131;3265;10;11
N00003132;1885;19;14
N00003133;4184;9;11
N00003134;2094;11;24
N00003135;2355;10;20
N00003136;2624;15;16
N00003137;966;10;48
N00003138;1488;15;28
N00003139;2558;10;13
N00003140;2465;10;19
N00003141;2538;8;16
N00003142;3512;10;11
N00003143;801;20;27
N00003144;2013;13;15
N00003145;2699;11;15
N00003146;3060;12;14
N00003147;3999;9;9
N00003148;3969;9;10
N00003149;3652;7;11
N00003150;3205;13;8
N00003151;1241;15;32
N00003152;2613;12;12
N00003153;3077;11;14
N00003154;3284;11;9
N00003155;631;24;25
N00003156;1061;21;26
N00003157;3356;9;17
N00003158;1756;15;24
N00003159;3256;10;14
N00003160;982;18;35
N00003161;2772;15;16
N00003162;1484;17;26
N00003163;2655;12;14
N00003164;3600;9;11
N00003165;437;22;34
N00003166;2694;11;16
N00003167;2956;10;15
N00003168;1503;18;24
N00003169;931;19;31
N00003170;1423;13;31
N00003171;135;18;50
N00003172;184;21;53
N00003173;1150;15;30
N00003174;11;28;63
N00003175;530;15;44
N00003176;1601;22;19
N00003177;762;20;35
N00003178;1524;18;27
N00003179;947;20;36
N00003180;2191;12;31
N00003181;2626;11;22
N00003182;3833;7;14
N00003183;2935;11;19
N00003184;1356;14;29
N00003185;839;13;38
N00003186;409;15;43
N00003187;929;21;30
N00003188;1504;21;17
N00003189;1175;22;19
N00003190;2448;14;14
N00003191;1035;17;29
N00003192;1038;19;32
N00003193;2793;11;16
N00003194;1671;18;15
N00003195;1850;16;23
N00003196;2086;17;19
N00003197;2107;11;22
N00003198;2901;9;18
N00003199;1926;14;19
N00003200;2311;13;16
N00003201;1361;20;19
N00003202;1352;14;23
N00003203;2668;7;20
N00003204;862;14;38
N00003205;1448;18;26
N00003206;2604;7;22
N00003207;2807;11;16
N00003208;916;23;25
N00003209;1956;15;19
N00003210;575;25;26
N00003211;12;25;60
N00003212;473;19;47
N00003213;702;12;44
N00003214;3;28;67
N00003215;442;20;43
N00003216;1747;14;24
N00003217;2435;12;21
N00003218;2816;9;19
N00003219;2944;8;5
N00003220;971;19;27
N00003221;2892;13;19
N00003222;2912;11;16
N00003223;413;17;47
N00003224;1696;18;20
N00003225;2903;9;20
N00003226;4155;7;11
N00003227;2168;14;23
N00003228;2443;9;23
N00003229;527;10;50
N00003230;55;29;55
N00003231;73;19;56
N00003232;1568;21;17
N00003233;531;21;40
N00003234;1274;19;23
N00003235;2111;17;18
N00003236;2332;11;26
N00003237;2315;12;21
N00003238;2121;13;20
N00003239;1544;19;21
N00003240;3703;8;4
N00003241;3400;6;13
N00003242;3052;11;11
N00003243;3268;9;12
N00003244;2861;14;10
N00003245;2852;15;10
N00003246;2810;11;18
N00003247;3666;9;11
N00003248;2865;13;13
N00003249;3857;6;10
N00003250;4224;8;9
N00003251;4176;11;8
N00003252;1171;13;22
N00003253;2962;9;16
N00003254;4021;3;14
N00003255;2795;12;15
N00003256;4010;8;9
N00003257;4297;11;8
N00003258;4289;9;5
N00003259;4218;3;9
N00003260;4358;2;8
N00003261;4286;7;8
N00003262;3990;10;7
N00003263;2758;14;11
N00003264;3602;10;6
N00003265;3892;8;8
N00003266;3405;10;9
N00003267;3479;8;7
N00003268;3282;10;11
N00003269;3845;8;9
N00003270;2925;13;7
N00003271;538;18;35
N00003272;1700;7;31
N00003273;4219;10;7
N00003274;941;19;33
N00003275;608;15;38
N00003276;4081;10;7
N00003277;3984;9;11
N00003278;2372;11;21
N00003279;1053;16;27
N00003280;4211;7;6
N00003281;2281;7;16
N00003282;3096;12;13
N00003283;912;17;36
N00003284;1605;15;23
N00003285;2400;12;23
N00003286;3896;8;13
N00003287;3636;6;13
N00003288;3898;10;13
N00003289;4268;7;12
N00003290;3505;10;10
N00003291;4412;7;5
N00003292;4139;8;8
N00003293;1343;16;20
N00003294;136;20;50
N00003295;250;10;49
N00003296;128;13;54
N00003297;265;20;39
N00003298;330;10;50
N00003299;100;18;51
N00003300;10;29;55
N00003301;790;10;44
N00003302;130;16;50
N00003303;462;11;39
N00003304;89;20;46
N00003305;107;26;41
N00003306;2597;8;18
N00003307;2809;10;17
N00003308;2361;11;18
N00003309;1906;13;23
N00003310;1538;12;25
N00003311;2581;12;20
N00003312;3254;11;16
N00003313;2433;12;22
N00003314;3928;7;13
N00003315;4077;11;10
N00003316;2012;15;19
N00003317;3447;12;11
N00003318;3656;10;10
N00003319;4271;5;9
N00003320;3398;11;14
N00003321;3223;11;11
N00003322;3239;10;12
N00003323;3820;8;11
N00003324;3665;8;12
N00003325;3253;10;14
N00003326;2319;14;15
N00003327;3914;9;6
N00003328;3646;9;9
N00003329;4085;6;5
N00003330;4160;5;6
N00003331;3724;14;6
N00003332;3350;14;7
N00003333;3144;7;15
N00003334;4030;9;9
N00003335;3448;11;15
N00003336;3483;11;8
N00003337;2204;16;15
N00003338;3181;13;16
N00003339;3342;13;13
N00003340;2642;8;27
N00003341;3316;8;19
N00003342;3532;11;13
N00003343;900;20;31
N00003344;3717;8;13
N00003345;3922;11;12
N00003346;4490;5;8
N00003347;4346;6;11
N00003348;4059;8;11
N00003349;3668;9;11
N00003350;3190;11;14
N00003351;2497;9;19
N00003352;3546;10;11
N00003353;3410;11;12
N00003354;3359;7;14
N00003355;2995;12;12
N00003356;2897;12;11
N00003357;3110;11;8
N00003358;2736;13;13
N00003359;2830;6;15
N00003360;1759;12;25
N00003361;3729;6;17
N00003362;4334;7;7
N00003363;3681;9;15
N00003364;4315;7;9
N00003365;4520;6;6
N00003366;4135;7;12
N00003367;4483;5;10
N00003368;1234;18;20
N00003369;2425;14;21
N00003370;2189;12;17
N00003371;752;21;27
N00003372;842;15;31
N00003373;1572;17;23
N00003374;1580;11;30
N00003375;2062;15;22
N00003376;768;25;21
N00003377;1318;20;22
N00003378;2970;8;21
N00003379;2676;13;19
N00003380;1231;10;32
N00003381;769;14;38
N00003382;1327;12;28
N00003383;1713;15;21
N00003384;4417;6;8
N00003385;3150;14;9
N00003386;1740;17;18
N00003387;4372;9;6
N00003388;3719;14;8
N00003389;4505;4;4
N00003390;3891;9;16
N00003391;3061;14;14
N00003392;3604;9;11
N00003393;4229;4;8
N00003394;3805;11;6
N00003395;4281;8;8
N00003396;4034;11;7
N00003397;699;14;41
N00003398;3270;6;19
N00003399;2547;10;22
N00003400;4009;6;13
N00003401;4232;4;11
N00003402;262;14;47
N00003403;72;19;54
N00003404;305;14;48
N00003405;397;10;52
N00003406;859;20;27
N00003407;3414;11;10
N00003408;2245;11;25
N00003409;3607;8;12
N00003410;3397;11;14
N00003411;3795;5;12
N00003412;831;14;31
N00003413;1579;13;24
N00003414;2687;16;14
N00003415;2143;10;19
N00003416;2005;9;22
N00003417;664;19;40
N00003418;429;22;32
N00003419;3647;9;13
N00003420;1186;16;29
N00003421;2371;9;20
N00003422;3000;11;21
N00003423;1647;12;28
N00003424;2262;12;25
N00003425;508;26;28
N00003426;2801;11;17
N00003427;2833;12;13
N00003428;3335;8;14
N00003429;1185;14;30
N00003430;1909;15;17
N00003431;1804;11;23
N00003432;2984;10;11
N00003433;2277;13;16
N00003434;3046;9;17
N00003435;2860;6;18
N00003436;3773;11;9
N00003437;4126;10;11
N00003438;4171;11;11
N00003439;4459;1;12
N00003440;4309;6;11
N00003441;3651;12;13
N00003442;3274;12;17
N00003443;3523;12;9
N00003444;3778;6;8
N00003445;3068;14;11
N00003446;3673;11;11
N00003447;3041;3;15
N00003448;2777;13;15
N00003449;3707;10;7
N00003450;3009;9;14
N00003451;4000;8;9
N00003452;3959;5;9
N00003453;4132;11;7
N00003454;3924;7;13
N00003455;3766;10;12
N00003456;3860;11;10
N00003457;2414;17;16
N00003458;4002;7;14
N00003459;4055;5;10
N00003460;3938;8;14
N00003461;3936;7;15
N00003462;4452;5;8
N00003463;3834;11;6
N00003464;4152;9;13
N00003465;2535;10;26
N00003466;2951;16;12
N00003467;4260;7;8
N00003468;4157;7;9
N00003469;2471;10;16
N00003470;3874;8;8
N00003471;1784;16;21
N00003472;3625;9;12
N00003473;3066;8;18
N00003474;4228;9;6
N00003475;3974;10;9
N00003476;3764;12;9
N00003477;3809;8;12
N00003478;4054;9;11
N00003479;4373;8;7
N00003480;1121;15;31
N00003481;4060;10;12
N00003482;2479;5;24
N00003483;1475;13;25
N00003484;322;27;31
N00003485;2117;9;21
N00003486;1159;14;28
N00003487;1042;17;30
N00003488;696;18;32
N00003489;598;18;34
N00003490;202;13;51
N00003491;171;19;52
N00003492;587;17;38
N00003493;563;16;37
N00003494;2502;10;25
N00003495;3383;7;19
N00003496;1532;16;27
N00003497;1320;13;30
N00003498;1946;15;23
N00003499;2120;8;23
N00003500;2484;16;20
N00003501;3108;10;17
N00003502;860;10;45
N00003503;2760;13;16
N00003504;4322;4;9
N00003505;737;22;32
N00003506;1518;10;31
N00003507;1295;13;31
N00003508;805;21;27
N00003509;3760;3;16
N00003510;1813;10;22
N00003511;949;21;25
N00003512;1774;15;19
N00003513;1500;15;26
N00003514;626;11;44
N00003515;149;25;43
N00003516;148;24;40
N00003517;403;16;50
N00003518;252;19;45
N00003519;201;24;44
N00003520;263;21;43
N00003521;4369;5;2
N00003522;4287;5;13
N00003523;4340;6;7
N00003524;4019;9;11
N00003525;4355;5;11
N00003526;4241;5;8
N00003527;3229;9;12
N00003528;3621;9;10
N00003529;2439;14;15
N00003530;2233;16;14
N00003531;3657;9;13
N00003532;3264;13;13
N00003533;1994;18;16
N00003534;1337;18;24
N00003535;3294;10;13
N00003536;2441;12;15
N00003537;2081;11;25
N00003538;3189;9;14
N00003539;3628;10;11
N00003540;2911;9;18
N00003541;2259;10;23
N00003542;328;21;39
N00003543;3404;11;14
N00003544;1853;14;27
N00003545;3111;11;16
N00003546;3188;12;15
N00003547;1949;18;17
N00003548;2100;14;20
N00003549;1375;16;20
N00003550;4039;10;9
